                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.43213,                0.31721,                0.90007,                0.96292,                0.94684,                0.97687,                0.91541,                0.33612,                0.23206,                 0.7981,             8.7427e-05,             8.7427e-05,             8.7427e-05
                    136,                0.39996,                0.32345,                0.89629,                0.96316,                0.94988,                0.97739,                0.91376,                0.33349,                0.22648,                 0.7962,             8.7191e-05,             8.7191e-05,             8.7191e-05
                    137,                0.43281,                0.31651,                 0.8741,                0.96174,                0.94921,                0.97727,                0.91583,                0.33104,                0.22456,                0.79577,             8.6956e-05,             8.6956e-05,             8.6956e-05
                    138,                0.43479,                0.32565,                0.89864,                0.96135,                0.94712,                0.97759,                0.91623,                 0.3285,                0.22733,                0.79529,              8.672e-05,              8.672e-05,              8.672e-05
                    139,                0.40025,                0.31423,                0.88228,                0.95866,                0.94781,                0.97745,                0.91918,                0.32509,                 0.2259,                0.79565,             8.6484e-05,             8.6484e-05,             8.6484e-05
                    140,                 0.3998,                0.30556,                 0.8897,                0.94864,                0.95326,                0.97809,                 0.9178,                 0.3262,                 0.2258,                0.79707,             8.6249e-05,             8.6249e-05,             8.6249e-05
                    141,                0.41074,                0.31152,                0.89094,                0.95196,                 0.9524,                0.97843,                0.91515,                0.32893,                0.22797,                0.79775,             8.6013e-05,             8.6013e-05,             8.6013e-05
                    142,                 0.3974,                0.31089,                0.88419,                0.95854,                 0.9527,                0.97825,                0.91511,                0.32691,                 0.2253,                0.79759,             8.5778e-05,             8.5778e-05,             8.5778e-05
                    143,                0.38937,                0.29316,                0.86774,                0.96263,                0.94943,                0.97831,                0.91478,                0.32523,                0.22623,                0.79666,             8.5542e-05,             8.5542e-05,             8.5542e-05
                    144,                0.42323,                0.32875,                0.89733,                0.95865,                0.95014,                0.97774,                0.91988,                0.32563,                0.22699,                0.79603,             8.5306e-05,             8.5306e-05,             8.5306e-05
                    145,                0.40679,                0.30383,                0.88502,                0.96172,                0.94892,                0.97776,                0.91971,                0.32842,                0.22727,                0.79643,             8.5071e-05,             8.5071e-05,             8.5071e-05
                    146,                0.39046,                0.29497,                0.87254,                0.96102,                0.95013,                0.97653,                0.92019,                 0.3237,                0.22605,                0.79562,             8.4835e-05,             8.4835e-05,             8.4835e-05
                    147,                 0.3735,                 0.2868,                 0.8817,                0.95875,                  0.954,                0.97718,                 0.9193,                0.31913,                0.22769,                0.79483,             8.4599e-05,             8.4599e-05,             8.4599e-05
                    148,                0.41917,                0.30705,                0.88111,                0.95246,                0.95657,                 0.9781,                0.91835,                0.31593,                0.22416,                 0.7941,             8.4364e-05,             8.4364e-05,             8.4364e-05
